Expediente_INVIMA,principio_activo,concentracion,unidad_base,unidad_de_dispensacion,nombre_comercial,fabricante,medicamento,canal,precio_por_tableta,factoresprecio,numerofactor
104739,acido valproico,acido valproico 500 mg,mg,Tableta o cápsula,Valcote,Lafrancol,Valcote (Lafrancol) - Cada tableta contiene: acido valproico 500 mg,Comercial,"3,490.33",Medio,2
10815,fluoxetina,fluoxetina 20 mg,mg,Tableta o cápsula,Fluoxetina,Genfar,Fluoxetina (Genfar) - Cada capsula contiene: fluoxetina 20 mg,Comercial,363.13,Medio,2
111057,proximetacaina,proximetacaina 5 mg,ml,Solución o suspensión oftálmica,Alcaine,Alcon,Alcaine (Alcon) - frasco 15 ml - Cada 1 ml contiene: proximetacaina 5 mg,Comercial,"57,433.33",Medio,2
11415,alopurinol,alopurinol 300 mg,mg,Tableta o cápsula,Alopurinol,Memphis,Alopurinol (Memphis) - Cada tableta contiene: alopurinol 300 mg,Comercial,365.08,Medio,2
11416,haloperidol,haloperidol 10 mg,mg,Tableta o cápsula,Haloperidol,Memphis,Haloperidol (Memphis) - Cada tableta contiene: haloperidol 10 mg,Comercial,533.81,Alto,3
11697,acido fusidico,acido fusidico 2 g,g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Acido Fusidico,Genfar,Acido Fusidico (Genfar) - tubo 15 g - Cada 100 g contiene: acido fusidico 2 g,Comercial,"9,912.17",Medio,2
11699,ketoprofeno,"ketoprofeno 2,5 g",g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Ketoprofeno,Genfar,"Ketoprofeno (Genfar) - tubo 60 g - Cada 100 g contiene: ketoprofeno 2,5 g",Comercial,"21,506.42",Bajo,1
11700,azitromicina,azitromicina 500 mg,mg,Tableta o cápsula,Azitromicina,Genfar,Azitromicina (Genfar) - Cada tableta contiene: azitromicina 500 mg,Comercial,"3,029.53",Medio,2
11701,azitromicina,azitromicina 200 mg,ml,Polvo para reconstituir a Solución o suspensión oral,Azitromicina,Genfar,Azitromicina (Genfar) - frasco 15 ml - Cada 5 ml contiene: azitromicina 200 mg,Comercial,"13,433.25",Medio,2
11878,tiopental,tiopental 1 g,g,Polvo para reconstituir a Solución o suspensión inyectable,Tiopental,Feparvi,Tiopental (Feparvi) - Cada vial contiene: tiopental 1 g,Comercial,687.33,Medio,2
11879,pancuronio,pancuronio 4 mg,ml,Solución o suspensión inyectable,Bromuro De Pancuronio,Feparvi,Bromuro De Pancuronio (Feparvi) - ampolla 2 ml - Cada 2 ml contiene: pancuronio 4 mg,Comercial,844.55,Medio,2
12888,salbutamol,salbutamol 40 mg,ml,Jarabe,Salbutamol,Memphis,Salbutamol (Memphis) - frasco 120 ml - Cada 100 ml contiene: salbutamol 40 mg,Comercial,"4,684.20",Medio,2
13358,hierro sacarato,hierro sacarato 100 mg,ml,Solución o suspensión inyectable,Venofer,Vifor,Venofer (Vifor) - ampolla 5 ml - Cada 5 ml contiene: hierro sacarato 100 mg,Comercial,"215,402.80",Medio,2
13854,medroxiprogesterona y estradiol,estradiol 5 mg + acetato de medroxiprogesterona 25 mg,ml,Solución o suspensión inyectable,Cyclofem,Profamilia,"Cyclofem (Profamilia) - ampolla 0,5 ml - Cada 0,5 ml contiene: estradiol 5 mg + acetato de medroxiprogesterona 25 mg",Comercial,"19,527.25",Medio,2
13874,alprazolam,"alprazolam 0,25 mg",mg,Tableta o cápsula,Xanax,Pfizer,"Xanax (Pfizer) - Cada tableta contiene: alprazolam 0,25 mg",Comercial,"1,554.92",Medio,2
14446,claritromicina,claritromicina 500 mg,mg,Tableta o cápsula,Claritromicina,La Sante,Claritromicina (La Sante) - Cada tableta contiene: claritromicina 500 mg,Comercial,"2,449.38",Bajo,1
14958,cetirizina,cetirizina 10 mg,mg,Tableta o cápsula,Alercet,Procaps,Alercet (Procaps) - Cada capsula contiene: cetirizina 10 mg,Comercial,"6,829.09",Alto,3
15875,trimebutina,trimebutina 200 mg,mg,Tableta o cápsula,Trimebutina,Colmed,Trimebutina (Colmed) - Cada tableta contiene: trimebutina 200 mg,Comercial,520.61,Bajo,1
16478,omeprazol,omeprazol 20 mg,mg,Tableta o cápsula,Omeprazol,Genfar,Omeprazol (Genfar) - Cada capsula contiene: omeprazol 20 mg,Comercial,278.22,Medio,2
16779,ambroxol,ambroxol 15 mg,ml,Jarabe,Ambroxol,Tecnofar,Ambroxol (Tecnofar) - frasco 120 ml - Cada 5 ml contiene: ambroxol 15 mg,Comercial,"6,576.82",Medio,2
16806,clindamicina,clindamicina 300 mg,mg,Tableta o cápsula,Clindamicina,La Sante,Clindamicina (La Sante) - Cada capsula contiene: clindamicina 300 mg,Comercial,"1,797.25",Medio,2
16815,cetirizina,cetirizina 10 mg,mg,Tableta o cápsula,Cetirizina,La Sante,Cetirizina (La Sante) - Cada tableta contiene: cetirizina 10 mg,Comercial,445.41,Medio,2
17135,trazodona,trazodona 50 mg,mg,Tableta o cápsula,Trazodona,Sanofi Aventis,Trazodona (Sanofi Aventis) - Cada tableta contiene: trazodona 50 mg,Comercial,"1,023.28",Medio,2
17144,amitriptilina,amitriptilina 25 mg,mg,Tableta o cápsula,Amitriptilina,Winthrop,Amitriptilina (Winthrop) - Cada tableta contiene: amitriptilina 25 mg,Comercial,296.95,Medio,2
17145,naproxeno,naproxeno 250 mg,mg,Tableta o cápsula,Naproxeno,Winthrop,Naproxeno (Winthrop) - Cada tableta contiene: naproxeno 250 mg,Comercial,377.89,Medio,2
19509,tramadol,tramadol 50 mg,mg,Tableta o cápsula,Tramal,Grunenthal,Tramal (Grunenthal) - Cada capsula contiene: tramadol 50 mg,Comercial,"4,188.70",Alto,3
19510,tramadol,tramadol 100 mg,ml,Solución o suspensión inyectable,Tramal,Grunenthal,Tramal (Grunenthal) - ampolla 2 ml - Cada 2 ml contiene: tramadol 100 mg,Comercial,"12,775.00",Alto,3
19512,tramadol,tramadol 50 mg,mg,Solución o suspensión inyectable,Tramal,Grunenthal,Tramal (Grunenthal) - ampolla 1 mg - Cada 1 ml contiene: tramadol 50 mg,Comercial,"7,010.00",Alto,3
19513,tramadol,tramadol 100 mg,ml,Solución o suspensión oral,Tramal,Grunenthal,Tramal (Grunenthal) - frasco 10 ml - Cada 1 ml contiene: tramadol 100 mg,Comercial,"81,370.00",Alto,3
19547,mentol + alcanfor + salicilato de metilo,mentol 4 g + salicilato de metilo 14 g + alcanfor 3 g,g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Ungüento Mentol No. 2,Tecnofar,Ungüento Mentol No. 2 (Tecnofar) - frasco 50 g - Cada 100 g contiene: mentol 4 g + salicilato de metilo 14 g + alcanfor 3 g,Comercial,"23,340.67",Medio,2
19721,acetaminofen + clorfeniramina + fenilefrina,acetaminofen 500 mg + maleato de clorfeniramina 2 mg + fenilefrina 10 mg,g,Polvos o granulados,Pax Caliente Noche,Sanofi Aventis,Pax Caliente Noche (Sanofi Aventis) - Cada sobre contiene: acetaminofen 500 mg + maleato de clorfeniramina 2 mg + fenilefrina 10 mg,Comercial,"1,774.47",Medio,2
19763,algestona y estradiol,estradiol 10 mg + algestona acetofenido 150 mg,mg,Solución o suspensión inyectable,Synovular,Lafrancol,Synovular (Lafrancol) - ampolla 1 mg - Cada 1 ml contiene: estradiol 10 mg + algestona acetofenido 150 mg,Comercial,"26,048.14",Medio,2
1980019,metoclopramida,metoclopramida 10 mg,mg,Tableta o cápsula,Metoclopramida,Pentacoop,Metoclopramida (Pentacoop) - Cada tableta contiene: metoclopramida 10 mg,Comercial,213.51,Medio,2
1980020,ibuprofeno,ibuprofeno 800 mg,mg,Tableta o cápsula,Ibuprofeno,Genfar,Ibuprofeno (Genfar) - Cada tableta contiene: ibuprofeno 800 mg,Comercial,"1,325.77",Medio,2
1980027,tinidazol,tinidazol 500 mg,mg,Tableta o cápsula,Tinidazol,Tecnoquimicas,Tinidazol (Tecnoquimicas) - Cada tableta contiene: tinidazol 500 mg,Comercial,548.99,Medio,2
1980037,sulfametoxazol y trimetoprim,trimetoprim 200 mg + sulfametoxazol 40 mg,ml,Solución o suspensión oral,Trimetoprim,Genfar,Trimetoprim (Genfar) - frasco 120 ml - Cada 5 ml contiene: trimetoprim 200 mg + sulfametoxazol 40 mg,Comercial,"7,456.00",Medio,2
1980110,meloxicam,meloxicam 15 mg,mg,Solución o suspensión inyectable,Melocam,Lafrancol,"Melocam (Lafrancol) - ampolla 1,5 mg - Cada 1,5 ml contiene: meloxicam 15 mg",Comercial,"13,906.50",Alto,3
1980165,claritromicina,claritromicina 250 mg,g,Polvos o granulados,Claritromicina,La Sante,Claritromicina (La Sante) - frasco 35 g - Cada 5 ml contiene: claritromicina 250 mg,Comercial,"58,800.40",Bajo,1
1980184,budesonida,"budesonida 0,5 mg",ml,Solución o suspensión para inhalación,Pulmicort,Astrazeneca,"Pulmicort (Astrazeneca) - ampolla 2 ml - Cada 1 ml contiene: budesonida 0,5 mg",Comercial,"21,344.00",Medio,2
1980347,escherichia coli,escherichia coli 6 mg,mg,Tableta o cápsula,Uro-Vaxom,Om,Uro-Vaxom (Om) - Cada capsula contiene: escherichia coli 6 mg,Comercial,"7,138.38",Medio,2
1980366,simeticona,simeticona 250 mg,mg,Tableta o cápsula,Digesta,Procaps,Digesta (Procaps) - Cada capsula contiene: simeticona 250 mg,Comercial,917.50,Medio,2
1980395,piperazina,piperazina 20 g,ml,Jarabe,Epulsarina,Cosmetipharma,Epulsarina (Cosmetipharma) - frasco 60 ml - Cada 100 ml contiene: piperazina 20 g,Comercial,"8,125.00",Bajo,1
1980397,levodopa y carbidopa,levodopa 250 mg + carbidopa 25 mg,mg,Tableta o cápsula,Carbidopa,Sanofi Aventis,Carbidopa (Sanofi Aventis) - Cada tableta contiene: levodopa 250 mg + carbidopa 25 mg,Comercial,"1,623.49",Alto,3
1980471,clozapina,clozapina 25 mg,mg,Tableta o cápsula,Leponex,Mylan,Leponex (Mylan) - Cada tableta contiene: clozapina 25 mg,Comercial,"1,750.00",Alto,3
1980477,miconazol,miconazol 2 g,g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Daktarin,Janssen,Daktarin (Janssen) - tubo 30 g - Cada 100 g contiene: miconazol 2 g,Comercial,"40,286.33",Bajo,1
1980496,metronidazol,metronidazol 500 mg,mg,Tableta o cápsula,Metronidazol,Tecnoquimicas,Metronidazol (Tecnoquimicas) - Cada tableta contiene: metronidazol 500 mg,Comercial,959.48,Medio,2
1980545,amlodipino,amlodipino 10 mg,mg,Tableta o cápsula,Norvas,Pfizer,Norvas (Pfizer) - Cada tableta contiene: amlodipino 10 mg,Comercial,"8,859.43",Alto,3
1980588,guaifenesina,guaifenesina 100 mg,ml,Jarabe,Guayacolato De Glicerilo,Licol,Guayacolato De Glicerilo (Licol) - frasco 120 ml - Cada 5 ml contiene: guaifenesina 100 mg,Comercial,"2,381.18",Medio,2
1980597,cloruro de potasio,cloruro de potasio 2 meq,ml,Solución o suspensión inyectable,Cloruro De Potasio,Ryan,Cloruro De Potasio (Ryan) - ampolla 10 ml - Cada 1 ml contiene: cloruro de potasio 2 meq,Comercial,"1,566.67",Medio,2
1980747,itraconazol,itraconazol 10 mg,ml,Solución o suspensión oral,Sporanox,Janssen,Sporanox (Janssen) - frasco 150 ml - Cada 1 ml contiene: itraconazol 10 mg,Comercial,"183,682.00",Medio,2
1980782,fluconazol,fluconazol 150 mg,mg,Tableta o cápsula,Fluconazol,Genfar,Fluconazol (Genfar) - Cada capsula contiene: fluconazol 150 mg,Comercial,"2,088.71",Medio,2
1980804,bromuro de ipatropio,bromuro de ipratropio 25 mg,ml,Solución o suspensión para inhalación,Atrovent,Boehringer,Atrovent (Boehringer) - frasco 20 ml - Cada 100 ml contiene: bromuro de ipratropio 25 mg,Comercial,"21,400.00",Medio,2
